"Year","Station","Transect","Parameter","Value"
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","15","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","14","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","13","Halodule Density",0
2014,"Cabra","15","Sediment %Cover",5
2014,"Cabra","15","Sediment %Cover",5
2014,"Cabra","15","Sediment %Cover",15
2014,"Cabra","15","Sediment %Cover",15
2014,"Cabra","15","Sediment %Cover",1
2014,"Cabra","15","Sediment %Cover",62.5
2014,"Cabra","15","Sediment %Cover",15
2014,"Cabra","15","Sediment %Cover",5
2014,"Cabra","15","Sediment %Cover",15
2014,"Cabra","15","Sediment %Cover",15
2014,"Cabra","15","Sediment %Cover",5
2014,"Cabra","15","Sediment %Cover",15
2014,"Cabra","15","Sediment %Cover",1
2014,"Cabra","15","Sediment %Cover",1
2014,"Cabra","15","Sediment %Cover",1
2014,"Cabra","15","Sediment %Cover",1
2014,"Cabra","15","Sediment %Cover",5
2014,"Cabra","15","Sediment %Cover",37.5
2014,"Cabra","15","Sediment %Cover",37.5
2014,"Cabra","15","Sediment %Cover",15
2014,"Cabra","15","Sediment %Cover",5
2014,"Cabra","15","Sediment %Cover",5
2014,"Cabra","15","Sediment %Cover",15
2014,"Cabra","15","Sediment %Cover",15
2014,"Cabra","15","Sediment %Cover",15
2014,"Cabra","15","Sediment %Cover",62.5
2014,"Cabra","15","Sediment %Cover",5
2014,"Cabra","15","Sediment %Cover",37.5
2014,"Cabra","15","Sediment %Cover",15
2014,"Cabra","15","Sediment %Cover",1
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",5
2014,"Cabra","14","Sediment %Cover",5
2014,"Cabra","14","Sediment %Cover",5
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",5
2014,"Cabra","14","Sediment %Cover",5
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",5
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",5
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",62.5
2014,"Cabra","14","Sediment %Cover",5
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","14","Sediment %Cover",5
2014,"Cabra","14","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",62.5
2014,"Cabra","13","Sediment %Cover",5
2014,"Cabra","13","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",5
2014,"Cabra","13","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",5
2014,"Cabra","13","Sediment %Cover",62.5
2014,"Cabra","13","Sediment %Cover",37.5
2014,"Cabra","13","Sediment %Cover",5
2014,"Cabra","13","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",37.5
2014,"Cabra","13","Sediment %Cover",37.5
2014,"Cabra","13","Sediment %Cover",37.5
2014,"Cabra","13","Sediment %Cover",37.5
2014,"Cabra","13","Sediment %Cover",37.5
2014,"Cabra","13","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",37.5
2014,"Cabra","13","Sediment %Cover",15
2014,"Cabra","13","Sediment %Cover",62.5
2014,"Cabra","13","Sediment %Cover",5
2014,"Cabra","13","Sediment %Cover",62.5
2014,"Cabra","13","Syringodium %Cover",5
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","15","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","14","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","13","Syringodium Density",0
2014,"Cabra","15","Thalassia %Cover",15
2014,"Cabra","15","Thalassia %Cover",62.5
2014,"Cabra","15","Thalassia %Cover",87.5
2014,"Cabra","15","Thalassia %Cover",87.5
2014,"Cabra","15","Thalassia %Cover",62.5
2014,"Cabra","15","Thalassia %Cover",62.5
2014,"Cabra","15","Thalassia %Cover",87.5
2014,"Cabra","15","Thalassia %Cover",87.5
2014,"Cabra","15","Thalassia %Cover",87.5
2014,"Cabra","15","Thalassia %Cover",62.5
2014,"Cabra","15","Thalassia %Cover",37.5
2014,"Cabra","15","Thalassia %Cover",87.5
2014,"Cabra","15","Thalassia %Cover",87.5
2014,"Cabra","15","Thalassia %Cover",62.5
2014,"Cabra","15","Thalassia %Cover",15
2014,"Cabra","14","Thalassia %Cover",62.5
2014,"Cabra","14","Thalassia %Cover",62.5
2014,"Cabra","14","Thalassia %Cover",62.5
2014,"Cabra","14","Thalassia %Cover",62.5
2014,"Cabra","14","Thalassia %Cover",62.5
2014,"Cabra","14","Thalassia %Cover",87.5
2014,"Cabra","14","Thalassia %Cover",37.5
2014,"Cabra","14","Thalassia %Cover",15
2014,"Cabra","14","Thalassia %Cover",87.5
2014,"Cabra","14","Thalassia %Cover",87.5
2014,"Cabra","14","Thalassia %Cover",87.5
2014,"Cabra","14","Thalassia %Cover",87.5
2014,"Cabra","14","Thalassia %Cover",87.5
2014,"Cabra","14","Thalassia %Cover",37.5
2014,"Cabra","14","Thalassia %Cover",37.5
2014,"Cabra","14","Thalassia %Cover",62.5
2014,"Cabra","14","Thalassia %Cover",37.5
2014,"Cabra","14","Thalassia %Cover",87.5
2014,"Cabra","14","Thalassia %Cover",87.5
2014,"Cabra","14","Thalassia %Cover",37.5
2014,"Cabra","14","Thalassia %Cover",37.5
2014,"Cabra","14","Thalassia %Cover",87.5
2014,"Cabra","14","Thalassia %Cover",87.5
2014,"Cabra","14","Thalassia %Cover",37.5
2014,"Cabra","14","Thalassia %Cover",37.5
2014,"Cabra","13","Thalassia %Cover",15
2014,"Cabra","13","Thalassia %Cover",62.5
2014,"Cabra","13","Thalassia %Cover",87.5
2014,"Cabra","13","Thalassia %Cover",62.5
2014,"Cabra","13","Thalassia %Cover",62.5
2014,"Cabra","13","Thalassia %Cover",62.5
2014,"Cabra","13","Thalassia %Cover",62.5
2014,"Cabra","13","Thalassia %Cover",62.5
2014,"Cabra","13","Thalassia %Cover",62.5
2014,"Cabra","13","Thalassia %Cover",37.5
2014,"Cabra","13","Thalassia %Cover",37.5
2014,"Cabra","13","Thalassia %Cover",87.5
2014,"Cabra","13","Thalassia %Cover",87.5
2014,"Cabra","13","Thalassia %Cover",62.5
2014,"Cabra","13","Thalassia %Cover",87.5
2014,"Cabra","13","Thalassia %Cover",87.5
2014,"Cabra","13","Thalassia %Cover",87.5
2014,"Cabra","13","Thalassia %Cover",87.5
2014,"Cabra","13","Thalassia %Cover",87.5
2014,"Cabra","13","Thalassia %Cover",87.5
2014,"Cabra","13","Thalassia %Cover",87.5
2014,"Cabra","13","Thalassia %Cover",87.5
2014,"Cabra","13","Thalassia %Cover",37.5
2014,"Cabra","13","Thalassia %Cover",37.5
2014,"Cabra","13","Thalassia %Cover",1
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",0
2014,"Cabra","15","Thalassia Density",1
2014,"Cabra","15","Thalassia Density",2
2014,"Cabra","15","Thalassia Density",3
2014,"Cabra","15","Thalassia Density",3
2014,"Cabra","15","Thalassia Density",1
2014,"Cabra","15","Thalassia Density",2
2014,"Cabra","15","Thalassia Density",3
2014,"Cabra","15","Thalassia Density",3
2014,"Cabra","15","Thalassia Density",4
2014,"Cabra","15","Thalassia Density",3
2014,"Cabra","15","Thalassia Density",1
2014,"Cabra","15","Thalassia Density",1
2014,"Cabra","15","Thalassia Density",1
2014,"Cabra","15","Thalassia Density",2
2014,"Cabra","15","Thalassia Density",1
2014,"Cabra","14","Thalassia Density",0
2014,"Cabra","14","Thalassia Density",0
2014,"Cabra","14","Thalassia Density",0
2014,"Cabra","14","Thalassia Density",0
2014,"Cabra","14","Thalassia Density",0
2014,"Cabra","14","Thalassia Density",1
2014,"Cabra","14","Thalassia Density",1
2014,"Cabra","14","Thalassia Density",2
2014,"Cabra","14","Thalassia Density",0
2014,"Cabra","14","Thalassia Density",0
2014,"Cabra","14","Thalassia Density",3
2014,"Cabra","14","Thalassia Density",3
2014,"Cabra","14","Thalassia Density",0
2014,"Cabra","14","Thalassia Density",2
2014,"Cabra","14","Thalassia Density",1
2014,"Cabra","14","Thalassia Density",4
2014,"Cabra","14","Thalassia Density",3
2014,"Cabra","14","Thalassia Density",4
2014,"Cabra","14","Thalassia Density",0
2014,"Cabra","14","Thalassia Density",0
2014,"Cabra","14","Thalassia Density",4
2014,"Cabra","14","Thalassia Density",1
2014,"Cabra","14","Thalassia Density",2
2014,"Cabra","14","Thalassia Density",3
2014,"Cabra","14","Thalassia Density",1
2014,"Cabra","14","Thalassia Density",2
2014,"Cabra","14","Thalassia Density",6
2014,"Cabra","14","Thalassia Density",4
2014,"Cabra","14","Thalassia Density",1
2014,"Cabra","14","Thalassia Density",1
2014,"Cabra","13","Thalassia Density",0
2014,"Cabra","13","Thalassia Density",0
2014,"Cabra","13","Thalassia Density",0
2014,"Cabra","13","Thalassia Density",0
2014,"Cabra","13","Thalassia Density",0
2014,"Cabra","13","Thalassia Density",2
2014,"Cabra","13","Thalassia Density",1
2014,"Cabra","13","Thalassia Density",0
2014,"Cabra","13","Thalassia Density",0
2014,"Cabra","13","Thalassia Density",2
2014,"Cabra","13","Thalassia Density",3
2014,"Cabra","13","Thalassia Density",1
2014,"Cabra","13","Thalassia Density",2
2014,"Cabra","13","Thalassia Density",2
2014,"Cabra","13","Thalassia Density",1
2014,"Cabra","13","Thalassia Density",3
2014,"Cabra","13","Thalassia Density",2
2014,"Cabra","13","Thalassia Density",0
2014,"Cabra","13","Thalassia Density",4
2014,"Cabra","13","Thalassia Density",2
2014,"Cabra","13","Thalassia Density",3
2014,"Cabra","13","Thalassia Density",3
2014,"Cabra","13","Thalassia Density",1
2014,"Cabra","13","Thalassia Density",4
2014,"Cabra","13","Thalassia Density",3
2014,"Cabra","13","Thalassia Density",4
2014,"Cabra","13","Thalassia Density",4
2014,"Cabra","13","Thalassia Density",3
2014,"Cabra","13","Thalassia Density",0
2014,"Cabra","13","Thalassia Density",0
2014,"Cabra","15","Total %Cover",37.5
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",15
2014,"Cabra","15","Total %Cover",37.5
2014,"Cabra","15","Total %Cover",87.5
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",87.5
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",15
2014,"Cabra","15","Total %Cover",2.5
2014,"Cabra","15","Total %Cover",15
2014,"Cabra","15","Total %Cover",15
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",87.5
2014,"Cabra","15","Total %Cover",87.5
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",87.5
2014,"Cabra","15","Total %Cover",87.5
2014,"Cabra","15","Total %Cover",87.5
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",37.5
2014,"Cabra","15","Total %Cover",87.5
2014,"Cabra","15","Total %Cover",87.5
2014,"Cabra","15","Total %Cover",62.5
2014,"Cabra","15","Total %Cover",15
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",62.5
2014,"Cabra","14","Total %Cover",62.5
2014,"Cabra","14","Total %Cover",62.5
2014,"Cabra","14","Total %Cover",62.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",62.5
2014,"Cabra","14","Total %Cover",37.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",62.5
2014,"Cabra","14","Total %Cover",62.5
2014,"Cabra","14","Total %Cover",62.5
2014,"Cabra","14","Total %Cover",37.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",37.5
2014,"Cabra","14","Total %Cover",37.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",87.5
2014,"Cabra","14","Total %Cover",37.5
2014,"Cabra","14","Total %Cover",62.5
2014,"Cabra","13","Total %Cover",62.5
2014,"Cabra","13","Total %Cover",62.5
2014,"Cabra","13","Total %Cover",62.5
2014,"Cabra","13","Total %Cover",37.5
2014,"Cabra","13","Total %Cover",62.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",62.5
2014,"Cabra","13","Total %Cover",37.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",62.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",87.5
2014,"Cabra","13","Total %Cover",62.5
2014,"Cabra","13","Total %Cover",62.5
2014,"Cabra","13","Total %Cover",37.5
2014,"Cabra","13","Total %Cover",37.5
2014,"Cabra","15","Total Coraline Algae %Cover",15
2014,"Cabra","15","Total Coraline Algae %Cover",1
2014,"Cabra","15","Total Coraline Algae %Cover",1
2014,"Cabra","15","Total Coraline Algae %Cover",15
2014,"Cabra","15","Total Coraline Algae %Cover",15
2014,"Cabra","15","Total Coraline Algae %Cover",15
2014,"Cabra","15","Total Coraline Algae %Cover",2.5
2014,"Cabra","15","Total Coraline Algae %Cover",15
2014,"Cabra","15","Total Coraline Algae %Cover",15
2014,"Cabra","15","Total Coraline Algae %Cover",15
2014,"Cabra","15","Total Coraline Algae %Cover",5
2014,"Cabra","15","Total Coraline Algae %Cover",2.5
2014,"Cabra","15","Total Coraline Algae %Cover",1
2014,"Cabra","15","Total Coraline Algae %Cover",5
2014,"Cabra","15","Total Coraline Algae %Cover",5
2014,"Cabra","15","Total Coraline Algae %Cover",5
2014,"Cabra","15","Total Coraline Algae %Cover",1
2014,"Cabra","15","Total Coraline Algae %Cover",15
2014,"Cabra","14","Total Coraline Algae %Cover",15
2014,"Cabra","14","Total Coraline Algae %Cover",5
2014,"Cabra","14","Total Coraline Algae %Cover",15
2014,"Cabra","14","Total Coraline Algae %Cover",5
2014,"Cabra","14","Total Coraline Algae %Cover",15
2014,"Cabra","14","Total Coraline Algae %Cover",15
2014,"Cabra","14","Total Coraline Algae %Cover",15
2014,"Cabra","14","Total Coraline Algae %Cover",15
2014,"Cabra","14","Total Coraline Algae %Cover",5
2014,"Cabra","14","Total Coraline Algae %Cover",5
2014,"Cabra","14","Total Coraline Algae %Cover",15
2014,"Cabra","14","Total Coraline Algae %Cover",15
2014,"Cabra","14","Total Coraline Algae %Cover",15
2014,"Cabra","14","Total Coraline Algae %Cover",15
2014,"Cabra","14","Total Coraline Algae %Cover",5
2014,"Cabra","14","Total Coraline Algae %Cover",5
2014,"Cabra","13","Total Coraline Algae %Cover",5
2014,"Cabra","13","Total Coraline Algae %Cover",5
2014,"Cabra","13","Total Coraline Algae %Cover",5
2014,"Cabra","13","Total Coraline Algae %Cover",5
2014,"Cabra","13","Total Coraline Algae %Cover",1
2014,"Cabra","13","Total Coraline Algae %Cover",5
2014,"Cabra","13","Total Coraline Algae %Cover",15
2014,"Cabra","13","Total Coraline Algae %Cover",15
2014,"Cabra","13","Total Coraline Algae %Cover",15
2014,"Cabra","13","Total Coraline Algae %Cover",37.5
2014,"Cabra","13","Total Coraline Algae %Cover",15
2014,"Cabra","13","Total Coraline Algae %Cover",15
2014,"Cabra","13","Total Coraline Algae %Cover",5
2014,"Cabra","13","Total Coraline Algae %Cover",5
2014,"Cabra","13","Total Coraline Algae %Cover",5
2014,"Cabra","13","Total Coraline Algae %Cover",1
2014,"Cabra","13","Total Coraline Algae %Cover",5
2014,"Cabra","13","Total Coraline Algae %Cover",15
2014,"Cabra","15","Total Macroalgae %Cover",37.5
2014,"Cabra","15","Total Macroalgae %Cover",62.5
2014,"Cabra","15","Total Macroalgae %Cover",62.5
2014,"Cabra","15","Total Macroalgae %Cover",62.5
2014,"Cabra","15","Total Macroalgae %Cover",15
2014,"Cabra","15","Total Macroalgae %Cover",37.5
2014,"Cabra","15","Total Macroalgae %Cover",87.5
